Issue Type,Summary,Description,Epic Link,Status,Priority,Story Points,Labels,Component,Sprint,Dependencies
Sub-task,Créer schémas de test,"Créer deux schémas de test (tenant_a, tenant_b) pour valider l'isolation. **SQL:** CREATE SCHEMA tenant_a. **Critères:** 2 schémas créés, isolation testée",Étape 2 – Backend de base,À faire,Low,2,database,apps/api,4,
Sub-task,Créer utilisateurs DB dédiés,"Créer des utilisateurs DB spécifiques à chaque schéma avec permissions restreintes. **SQL:** CREATE USER tenant_a_user WITH PASSWORD. **Critères:** Users créés, GRANT sur schéma uniquement",Étape 2 – Backend de base,À faire,Low,2,database security,apps/api,4,
Sub-task,Valider isolation SQL,"Vérifier qu'un utilisateur ne peut pas accéder au schéma d'un autre tenant. **Test:** Connexion avec user A, SELECT sur schema B. **Critères:** Erreur permission denied",Étape 2 – Backend de base,À faire,Low,1,database security tests,apps/api,4,
Task,2.4 Stockage S3 MinIO,"Implémenter un gestionnaire S3 pour upload, download et listing sécurisés. **Fichier:** apps/api/core/storage.py",Étape 2 – Backend de base,À faire,High,5,backend infrastructure,apps/api,5,
Sub-task,Créer buckets de test,"Créer un bucket par tenant pour simuler l'isolation de stockage. **Lib:** boto3. **Critères:** Buckets tenant-a-docs, tenant-b-docs créés",Étape 2 – Backend de base,À faire,Low,1,infrastructure,apps/api,5,
Sub-task,Activer chiffrement server-side,"Activer le chiffrement côté serveur sur les buckets (SSE-S3). **Config:** PutBucketEncryption. **Critères:** Chiffrement activé, vérifié via GetBucketEncryption",Étape 2 – Backend de base,À faire,Low,1,security infrastructure,apps/api,5,
Sub-task,Valider opérations S3,"Vérifier upload, download et listing sur chaque bucket. **Code:** Tests avec boto3. **Critères:** 3 opérations fonctionnelles, fichiers isolés par tenant",Étape 2 – Backend de base,À faire,Low,2,backend tests,apps/api,5,
Task,2.5 Authentification JWT,Mettre en place un mécanisme d'authentification par JWT pour sécuriser l'API. **Référence:** VISION.md section Auth,Étape 2 – Backend de base,À faire,High,8,backend security,apps/api,5,
Sub-task,Créer génération de token,Créer la génération et la vérification des tokens JWT avec python-jose. **Fichier:** apps/api/core/auth/jwt.py. **Critères:** Fonctions create_token et verify_token fonctionnelles,Étape 2 – Backend de base,À faire,Low,3,backend security,apps/api,5,
Sub-task,Protéger endpoints sensibles,"Protéger les endpoints nécessitant authentification avec dependency get_current_user. **Fichier:** apps/api/core/auth/dependencies.py. **Critères:** Dependency créé, endpoint test protégé",Étape 2 – Backend de base,À faire,Low,2,backend security,apps/api,5,
Sub-task,Valider flux d'authentification,"Vérifier login, accès à /me et gestion d'erreurs (token expiré, invalide). **Tests:** test_auth.py. **Critères:** 5 tests passent (login, access, expired, invalid, missing)",Étape 2 – Backend de base,À faire,Low,2,backend tests,apps/api,5,
Task,2.6 Tests API et documentation,Documenter automatiquement l'API et fournir une collection de tests. **Référence:** README.md section Documentation,Étape 2 – Backend de base,À faire,High,3,backend docs tests,apps/api,5,
Sub-task,Configurer OpenAPI,"Configurer la doc OpenAPI et exposer /docs (Swagger) et /redoc. **Config:** FastAPI(docs_url, redoc_url). **Critères:** Docs accessibles, tous les endpoints documentés",Étape 2 – Backend de base,À faire,Low,1,backend docs,apps/api,5,
Sub-task,Créer collection de tests,Créer une collection de requêtes HTTP pour tester les endpoints clés (REST Client ou Postman). **Fichier:** apps/api/tests/api.http. **Critères:** Collection avec 10+ requêtes,Étape 2 – Backend de base,À faire,Low,1,tests docs,apps/api,5,
Sub-task,Exporter openapi.json,"Exporter le fichier OpenAPI et l'ajouter au dépôt pour versionner l'API. **Commande:** curl /openapi.json > docs/api/openapi.json. **Critères:** Fichier exporté, ajouté à git",Étape 2 – Backend de base,À faire,Low,1,docs,apps/api,5,
Epic,Étape 3 – Couche IA : LiteLLM + Journalisation,Ajouter une couche d'orchestration LLM multi-fournisseurs et tracer les usages en base.,,À faire,High,,,ai,0,
Task,3.1 Installer et configurer LiteLLM,Installer LiteLLM Proxy et préparer la configuration des modèles. **Référence:** VISION.md section Gestion multi-LLM,Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,High,5,ai backend,apps/api,6,2.1
Sub-task,Définir litellm_config,"Définir les modèles supportés et les clés d'API associées dans litellm_config.yaml. **Fichier:** apps/api/litellm_config.yaml. **Modèles:** gpt-4o-mini, claude-3-sonnet, mistral-small. **Critères:** Config avec 3+ modèles",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,2,ai,apps/api,6,
Sub-task,Démarrer proxy LiteLLM,"Démarrer le proxy dans docker-compose et vérifier sa disponibilité locale. **Service:** litellm dans docker-compose.yml. **Critères:** Proxy démarré sur port 4000, /health répond",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,1,ai infrastructure,tools,6,
Sub-task,Tester appels simples,"Valider qu'un appel simple retourne une réponse pour chaque modèle configuré. **Code:** Test avec requests vers http://localhost:4000/chat/completions. **Critères:** 3 modèles testés, réponses valides",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,2,ai tests,apps/api,6,
Task,3.2 Client LLM unifié,Exposer un client interne unique pour appeler les modèles via LiteLLM. **Fichier:** apps/api/core/llm/client.py,Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,High,5,ai backend,apps/api,6,3.1
Sub-task,Créer client HTTP asynchrone,"Créer un client HTTP asynchrone unifié avec paramètres standard (model, messages, temperature). **Lib:** httpx. **Critères:** Classe LLMClient avec méthode call_async",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,3,ai backend,apps/api,6,
Sub-task,Gérer métadonnées d'usage,Transmettre le tenant_id pour faciliter le suivi et l'audit dans les headers. **Header:** X-Tenant-ID. **Critères:** Metadata inclus dans chaque requête,Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,1,ai backend,apps/api,6,
Sub-task,Valider timeouts et erreurs,"Vérifier la résilience aux erreurs réseau et le respect des timeouts (30s). **Tests:** test_llm_errors.py. **Critères:** Gestion timeout, retry logic, erreurs loggées",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,1,ai tests,apps/api,6,
Task,3.3 Table de journalisation LLM,"Créer une table d'usage pour tracer tokens, coûts, latences et modèles. **Référence:** VISION.md section Journalisation",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,High,5,ai database backend,apps/api,6,
Sub-task,Définir schéma de la table,"Définir les colonnes et index nécessaires pour l'analyse des usages (llm_usage). **Migration:** 003_llm_usage.py. **Colonnes:** id, tenant_id, model, tokens_in, tokens_out, cost, latency_ms, created_at. **Critères:** Table créée avec index",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,2,database,apps/api,6,
Sub-task,Enregistrer chaque appel,Enregistrer systématiquement les appels avec les métriques clés dans la table. **Code:** Middleware ou decorator. **Critères:** Chaque appel LLM enregistré automatiquement,Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,2,ai backend,apps/api,6,
Sub-task,Calculer coûts estimés,Calculer les coûts estimés par modèle à partir des tokens (prix/1M tokens). **Code:** Fonction calculate_cost. **Critères:** Coûts calculés pour 3+ modèles,Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,1,ai backend,apps/api,6,
Task,3.4 Tests multi-fournisseurs,"Valider les appels OpenAI, Anthropic et Mistral depuis le client unifié.",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,High,3,ai tests,apps/api,7,3.2
Sub-task,Tester modèle OpenAI,"Valider un appel simple au modèle OpenAI configuré (gpt-4o-mini). **Test:** test_openai.py. **Critères:** Appel réussi, réponse cohérente, tokens comptés",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,1,ai tests,apps/api,7,
Sub-task,Tester modèle Anthropic,"Valider un appel simple au modèle Anthropic configuré (claude-3-sonnet). **Test:** test_anthropic.py. **Critères:** Appel réussi, format réponse correct",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,1,ai tests,apps/api,7,
Sub-task,Tester modèle Mistral,"Valider un appel simple au modèle Mistral configuré (mistral-small). **Test:** test_mistral.py. **Critères:** Appel réussi, latence mesurée",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,1,ai tests,apps/api,7,
Task,3.5 Isolation par tenant,Valider que les logs d'usage et les clés API sont isolés par tenant.,Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,High,3,ai security tests,apps/api,7,3.3
Sub-task,Tester clés par tenant,Valider que chaque tenant peut utiliser ses propres clés API LLM. **Config:** Clés dans tenant settings. **Critères:** 2 tenants avec clés différentes testés,Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,2,ai security,apps/api,7,
Sub-task,Vérifier séparation des logs,"S'assurer que les enregistrements d'usage sont filtrés par tenant_id. **Query:** SELECT * FROM llm_usage WHERE tenant_id. **Critères:** Logs isolés, pas de fuite cross-tenant",Étape 3 – Couche IA : LiteLLM + Journalisation,À faire,Low,1,ai security tests,apps/api,7,
Epic,Étape 4 – Couche RAG,Construire le pipeline d'ingestion multi-formats et la recherche sémantique avec génération de réponses sourcées.,,À faire,High,,,ai,0,
Task,4.1 Installer LlamaIndex,Installer LlamaIndex et ses connecteurs de vector stores et embeddings. **Référence:** VISION.md section RAG,Étape 4 – Couche RAG,À faire,High,3,ai backend,apps/api,8,3.2
Sub-task,Installer dépendances vector stores,"Installer les modules pour Postgres/pgvector et Qdrant. **Packages:** llama-index-vector-stores-postgres, llama-index-vector-stores-qdrant. **Critères:** Packages installés dans requirements.txt",Étape 4 – Couche RAG,À faire,Low,1,ai,apps/api,8,
Sub-task,Installer loaders de documents,"Installer les loaders PDF, DOCX et TXT pour l'ingestion. **Packages:** llama-index-readers-file. **Critères:** Loaders disponibles, import réussi",Étape 4 – Couche RAG,À faire,Low,1,ai,apps/api,8,
Task,4.2 Indexation de documents,"Implémenter l'ingestion, le chunking et l'indexation des documents avec métadonnées. **Fichier:** apps/api/core/rag/indexer.py",Étape 4 – Couche RAG,À faire,High,8,ai backend,apps/api,8,4.1
Sub-task,Charger documents,Permettre le chargement de fichiers depuis un chemin local ou S3. **Code:** Document loader avec support local et S3. **Critères:** Chargement depuis les 2 sources,Étape 4 – Couche RAG,À faire,Low,2,ai backend,apps/api,8,
Sub-task,Découper en chunks,"Découper les documents en chunks cohérents pour la recherche sémantique (512 tokens, overlap 50). **Code:** SentenceSplitter ou TokenTextSplitter. **Critères:** Document découpé en chunks pertinents",Étape 4 – Couche RAG,À faire,Low,2,ai backend,apps/api,8,
Sub-task,Générer embeddings,"Générer des embeddings pour chaque chunk avec le modèle choisi (text-embedding-3-small). **Code:** OpenAIEmbedding. **Critères:** Embeddings générés, dimensions correctes (1536)",Étape 4 – Couche RAG,À faire,Low,2,ai backend,apps/api,8,
Task,4.3 Retriever pgvector,Configurer la recherche sémantique basée sur PostgreSQL + pgvector. **Fichier:** apps/api/core/rag/retriever.py,Étape 4 – Couche RAG,À faire,High,5,ai database backend,apps/api,8,4.2
Sub-task,Configurer PGVectorStore,"Configurer la table et l'accès pgvector pour stocker les embeddings. **Code:** PGVectorStore de LlamaIndex. **Critères:** Store configuré, connexion établie",Étape 4 – Couche RAG,À faire,Low,2,ai database,apps/api,8,
Sub-task,Valider similarité,"Valider une requête sémantique renvoyant des résultats pertinents (top_k=5). **Test:** Query test, vérifier results. **Critères:** Résultats retournés, scores de similarité cohérents",Étape 4 – Couche RAG,À faire,Low,2,ai tests,apps/api,8,
Sub-task,Filtrer par tenant,"Forcer un filtrage strict par tenant_id sur les résultats via metadata filters. **Code:** Filter sur metadata. **Critères:** Isolation testée, pas de leak",Étape 4 – Couche RAG,À faire,Low,1,ai security,apps/api,8,
Task,4.4 Option Qdrant,Proposer l'option Qdrant comme vector store et valider la migration depuis pgvector. **Référence:** VISION.md section Qdrant,Étape 4 – Couche RAG,À faire,High,8,ai infrastructure,apps/api,9,
Sub-task,Configurer service Qdrant,"Ajouter Qdrant en service docker-compose et définir URL et API key en configuration. **Service:** qdrant dans docker-compose.yml. **Critères:** Service démarré, API accessible",Étape 4 – Couche RAG,À faire,Low,2,ai infrastructure,tools,9,
Sub-task,Créer collections par tenant,"Créer une collection dédiée par tenant pour isoler les données. **Code:** QdrantVectorStore.create_collection. **Critères:** Collections tenant_a, tenant_b créées",Étape 4 – Couche RAG,À faire,Low,2,ai,apps/api,9,
Sub-task,Tester migration embeddings,"Exporter depuis pgvector, importer dans Qdrant et comparer la pertinence. **Script:** migrate_to_qdrant.py. **Critères:** Migration réussie, résultats comparables",Étape 4 – Couche RAG,À faire,Low,3,ai tests,apps/api,9,
Sub-task,Mesurer latence et coûts,Mesurer la latence moyenne et l'empreinte de stockage pour orienter le choix. **Benchmark:** 1000 queries sur chaque. **Critères:** Métriques documentées (pgvector vs Qdrant),Étape 4 – Couche RAG,À faire,Low,1,ai tests,apps/api,9,
Task,4.5 Génération avec sources,Assembler retrieve + generate pour produire une réponse sourcée. **Fichier:** apps/api/core/rag/query_engine.py,Étape 4 – Couche RAG,À faire,High,5,ai backend,apps/api,9,4.3
Sub-task,Construire prompt RAG,"Construire un prompt qui contraint la réponse aux documents fournis. **Prompt:** system message + context. **Critères:** Prompt template créé, variable context",Étape 4 – Couche RAG,À faire,Low,2,ai backend,apps/api,9,
Sub-task,Inclure extraits et scores,Inclure les extraits de contexte et scores dans la réponse pour audit. **Format:** JSON avec sources array. **Critères:** Réponse inclut sources avec scores,Étape 4 – Couche RAG,À faire,Low,2,ai backend,apps/api,9,
Sub-task,Gérer absence de réponse,Gérer les cas où la réponse n'est pas présente dans les documents. **Code:** Check if no relevant docs. **Critères:** Message 'No answer found in documents' retourné,Étape 4 – Couche RAG,À faire,Low,1,ai backend,apps/api,9,
Task,4.6 Modèle de données des documents,Créer les tables documents et chunks et index nécessaires. **Migration:** 004_rag_tables.py,Étape 4 – Couche RAG,À faire,High,3,database backend,apps/api,9,
Sub-task,Créer table documents,"Créer la table documents pour suivre statut, taille, type et métadonnées. **Colonnes:** id, tenant_id, filename, size, mime_type, status, metadata, created_at. **Critères:** Table créée avec index",Étape 4 – Couche RAG,À faire,Low,1,database,apps/api,9,
Sub-task,Créer table chunks,"Créer la table chunks avec colonne embedding de type vector. **Colonnes:** id, document_id, content, embedding vector(1536), metadata. **Critères:** Table créée, type vector utilisé",Étape 4 – Couche RAG,À faire,Low,1,database,apps/api,9,
